codigo_entidad,mes_str,categoria,tipo_filial,denominacion,direccion,localidad,partido,provincia,latitud,longitud,cantidad_cajeros
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL MARIANO ACOSTA,AVENIDA RICARDO BALBIN 0000008964,MARIANO ACOSTA,MERLO,BUENOS AIRES,-34.719008,-58.788682,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL MERLO ATM 54049805,AV. DEL LIBERTADOR GRAL. SAN MARTIN 699,MERLO,MERLO,BUENOS AIRES,-34.666613,-58.726650,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,MORENO - SERIE Nº 1522 VDC 00892,AV. DEL LIBERTADOR 310,MORENO,MORENO,BUENOS AIRES,-34.646279,-58.790403,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL RAMOS MEJIA - N° DE SERIE 5300592233,BELGRANO 34,RAMOS MEJÍA,LA MATANZA,BUENOS AIRES,-34.641854,-58.564709,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCUSAL BERNAL -,BELGRANO 0000000347,BERNAL,QUILMES,BUENOS AIRES,-34.712052,-58.281031,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,JOSE MARIA EZEIZA H34N327557,PRESINDETE NESTOR CARLOS KIRCHNER 0000000890,JOSÉ MARÍA EZEIZA,EZEIZA,BUENOS AIRES,-34.892373,-58.145810,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,,AV. 7 850,LA PLATA,LA PLATA,BUENOS AIRES,-34.913979,-57.950395,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,LURO - H22V578307,AV. PEDRO LURO 0000003869,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,-37.990434,-57.561972,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,HOTEL PROVINCIAL ANEXO OPERATIVO,BOULEVARD PATRICIO PERALTA RAMOS 0000002502,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,-38.006088,-57.542153,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,AV. CONSTITUCION- H22V472940,AV. CONSTITUCION 0000005850,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,-37.961600,-57.562232,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,BALCARCE - SERIE Nº 1720 HV 100660,AV. GONZALEZ CHAVES 501,BALCARCE,BALCARCE,BUENOS AIRES,-37.840733,-58.256249,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL CORONEL VIDAL ATM H34N327567,GENERAL PAZ 299,CORONEL VIDAL,MAR CHIQUITA,BUENOS AIRES,-37.448376,-57.727990,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,MIRAMAR,CALLE 21 1209 y CALLE 24,MIRAMAR,GENERAL ALVARADO,BUENOS AIRES,-38.270232,-57.838010,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,NECOCHEA - H22V578228,CALLE 64 0000003000,NECOCHEA - QUEQUEN,NECOCHEA,BUENOS AIRES,-38.552939,-58.743348,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL ALMAFUERTE ATM H34N327572,ALMAFUERTE 750,BAHÍA BLANCA,BAHIA BLANCA,BUENOS AIRES,-38.719737,-62.284314,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,TRES ARROYOS,COLON 199,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,-38.379221,-60.274917,0
